tweet_id	tweet
1149390095612555266	от паксила такая дикая сонливость((
1104439603304546304	@Kyzzenish Попробуйте парацетамол. Нередко очень хорошо помогает от головной боли
5886509017	А для фанатов арбидола могу сообщить, что спонсор моих маленьких, но победоносных войн с гриппом и другими вирусными гадостями - Бисептол.
1539809930	Опять болит горло, поэтому опять забил на бассейн. Вчера лечился медом, лимоном и парацетамолом.
777843779021709312	У Васи жар, аж вся кровать и одеяло мокрые 😱 дала парацетамол, больше ничего подходящего нет 😾 что делать? как сбить температуру?
775040061876436992	@SleepyFilin вчера еще, все горло кровавое и зубики болят( может, парацетамол? температуру сбить
557156034792660992	Если мне прописали пить парацетамол при температуре выше 37 и 8, то как сбивать то, что ниже?
984330315152969728	Актер выпил парацетамол, завязал глаза и покончил с собой в 34 года
1084857501223399425	@lykkelig__ Бисептол Арбидол А когда только простужаешься - цитовир, он поможет быстро выздороветь.
29541956533	Пока что я и мои лучшие друзья аврал, парацетамол и неистово сексуальный голос, увы, так заняты друг другом((
244769192597917696	Кстати, сказали, что если ночью температура повысится принять анальгин и парацетамол. Можно ведь и Пенталгин, нэ?
685457499785408512	#Донецк Перекресток Щорса-Гурова, молодые люди у всех на виду жрут бело-красные ампулы. Возможно это студенты лечат похмелье парацетамолом.
78139384238575617	в противостоянии парацетамола и штруделя, безоговорочную победу одерживает штрудель!
958272132022177792	Кости ломит так сильно  Я перестаю дышать  Температура высокая  Я уже не могу терпеть  Этот парацетамол  Такой безвкусный
810499108981112832	Пятница - отлично себя чувствую, сб - температура 39, вс. температура 38.5 после парацетамола(( стремно немного.
503085784950652929	При одновременном применении с амоксициллином отмечается повышение токсичности метотрексата, также повышение абсорбции дигоксина.
567931831112368129	@Califormiss а температуру ниже 38 лучше не сбивать, но если совсем невмоготу, то 2 таблетки анальгина+1 таблетка парацетамола и под одеяло
1240285310510141440	Швейцария на полгода ограничивает продажу аспирина и парацетамола по одной пачке в руки в связи с пандемией COVID 19 - власти страны
691506634619785216	При свином гриппе надо отказаться от народных средств и аспирина. Нужны средства на основе парацетамола.
448074853346971649	температура заебла. чем сбить? парацетамол, фервекс, анальгин+димедрол не предлагать - бесполезно(
1321710066303684610	Препарат от коронавируса «Фавипиравир» получил постоянную регистрацию в России, сообщили в Минздраве.
9617592785	@lilumi не годится такое лечение, Арбидол лучше возьми - я 2 дня попила и простуда сдалась!
595665036691054593	Почему парацетамол не снимает боль в суставах?
14603502051401728	@Taisika если лимфоузлы распухли, пора антибиотиками типа азитромицина. Визит к лору не отберет много времени.
572055484439519232	Да досидела вчера до 7 утра, дождалась, что начала повышаться, дала парацетамол - до 4 дня всё было ничего, а сейчас опять 39.
1289993283653918720	у меня во время месячных буквально разрывает живот я правда не могу двигаться короче запасаюсь парацетамолом и в дорогу
1240707134712467456	@dinmoore25 А ещё их поголовно лечили парацетамолом и ибупрофеном, которые спровоцировали дикие побочки и летальность
1017415264365731841	@SerasLain Насморка нет, температура и легким с горлом пизда.  Парацетамол нашла ночью еще, спасибо, моя хорошая!
382483132244434944	"@LaMelaVerde выпиваю таблетку, а в голове: ""колесико крутит, глотает""..бляяяяя от парацетамола до амфетамина всего три куплета=)))"
434408076314042368	люблю своих соседей всегда готовы помочь принесут парацетамол, а то температура всё выше и выше
1280887286142558212	"Минздрав зарегистрировал третий российский препарат от коронавируса на основе фавипиравира - коронавир компании ""Р-Фарм""."
619210715497373697	@ya_mishanga ну сбить температуру парацетамол-содержащим, а дальше закинуться иммуностимуляторами (или витамином C, хотя бы). И спать
650349328322723840	"ты не знаешь, что такое боль, если не пил ""Арбидол"" без капсулы."
21888766240	Две желто-белые таблеточки арбидола. И рисовая каша. И отвратное настроение.
749973337800007681	#интересное Парацетамол приводит к аутизму и гиперактивности
68333477837287425	Оциллококцинум - самое продаваемое во Франции безрецептурное средство против гриппа. У нас - арбидол. 80% людей - идиоты.
833274893408018432	выписали амоксициллин и коделак бронхо вроде и от горла там что то. ну горло легче 😂 а вот все остальное не сказала бы
236147238081003521	Закинулись парацетамолом и пытаемся уснуть. Но хрен там..пока завтра не сяду в поезда-поспать больше не выпадет
